pollen_concentration,timestamp
6.5 2026-03-01 10:48:57.349751
6.5 2026-03-02 11:06:36.636878
6.9 2026-03-03 11:04:07.817643
8.8 2026-03-04 11:01:37.762900
7.8 2026-03-05 11:05:18.996141
7.0 2026-03-06 11:01:01.214509
7.4,2026-03-07 10:47:06
7.8,2026-03-08 10:49:11
8.6,2026-03-09 11:08:16
12.0,2026-03-10 11:05:52
10.8,2026-03-11 12:12:22
7.3,2026-03-12 11:04:52
7.5,2026-03-13 11:02:51
7.8,2026-03-14 10:52:55
8.4,2026-03-15 10:55:34
7.7,2026-03-16 11:25:30
7.7,2026-03-17 11:12:04
6.1,2026-03-18 11:13:32
6.6,2026-03-19 11:06:29
7.3,2026-03-20 11:02:41
6.5,2026-03-21 10:51:20
6.8,2026-03-22 10:52:03
6.8,2026-03-23 11:12:52
7.6,2026-03-24 11:12:59
6.4,2026-03-25 11:11:20
6.1,2026-03-26 11:26:33
6.2,2026-03-27 11:11:07
6.3,2026-03-28 10:57:13
6.3,2026-03-29 10:59:11
6.1,2026-03-30 11:31:16
