pollen_concentration,timestamp
2.4 2026-03-01 10:48:57.351486
2.4 2026-03-02 11:06:36.639297
2.2 2026-03-03 11:04:07.819666
4.7 2026-03-04 11:01:37.764448
4.9 2026-03-05 11:05:18.997824
4.2 2026-03-06 11:01:01.216838
4.6,2026-03-07 10:47:06
5.1,2026-03-08 10:49:11
2.7,2026-03-09 11:08:16
6.5,2026-03-10 11:05:52
6.5,2026-03-11 12:12:22
6.2,2026-03-12 11:04:52
6.3,2026-03-13 11:02:51
6.5,2026-03-14 10:52:55
6.2,2026-03-15 10:55:34
6.0,2026-03-16 11:25:30
6.0,2026-03-17 11:12:04
4.5,2026-03-18 11:13:32
2.6,2026-03-19 11:06:29
3.1,2026-03-20 11:02:41
3.4,2026-03-21 10:51:20
4.2,2026-03-22 10:52:03
4.2,2026-03-23 11:12:52
2.3,2026-03-24 11:12:59
3.1,2026-03-25 11:11:20
3.9,2026-03-26 11:26:33
