pollen_concentration,timestamp
7.2 2026-03-01 10:49:03.070282
7.2 2026-03-02 11:06:42.562774
5.1 2026-03-03 11:04:13.411619
3.7 2026-03-04 11:01:43.371842
6.1 2026-03-05 11:05:24.573310
6.8 2026-03-06 11:01:06.825812
6.9,2026-03-07 10:47:11
6.6,2026-03-08 10:49:16
6.6,2026-03-09 11:08:22
6.1,2026-03-10 11:05:57
2.7,2026-03-11 12:12:28
5.6,2026-03-12 11:04:57
5.6,2026-03-13 11:02:57
5.6,2026-03-14 10:53:01
6.0,2026-03-15 10:55:39
6.4,2026-03-16 11:25:35
6.4,2026-03-17 11:12:10
6.1,2026-03-18 11:13:38
6.1,2026-03-19 11:06:35
4.3,2026-03-20 11:02:47
3.0,2026-03-21 10:51:25
3.6,2026-03-22 10:52:09
3.6,2026-03-23 11:12:59
4.1,2026-03-24 11:13:05
2.6,2026-03-25 11:11:26
5.7,2026-03-26 11:26:38
5.7,2026-03-27 11:11:13
5.5,2026-03-28 10:57:19
