pollen_concentration,timestamp
5.8 2026-03-01 10:49:03.072873
5.8 2026-03-02 11:06:42.565245
2.3 2026-03-03 11:04:13.413638
3.9 2026-03-04 11:01:43.370620
5.6 2026-03-05 11:05:24.574459
3.0 2026-03-06 11:01:06.828268
3.3,2026-03-07 10:47:11
2.8,2026-03-08 10:49:16
2.8,2026-03-09 11:08:22
3.4,2026-03-10 11:05:57
3.2,2026-03-11 12:12:28
4.0,2026-03-12 11:04:57
4.0,2026-03-13 11:02:57
3.3,2026-03-14 10:53:01
4.3,2026-03-15 10:55:39
2.9,2026-03-16 11:25:35
2.9,2026-03-17 11:12:10
5.2,2026-03-18 11:13:38
5.2,2026-03-19 11:06:35
4.5,2026-03-20 11:02:47
5.5,2026-03-21 10:51:25
6.0,2026-03-22 10:52:09
