pollen_concentration,timestamp
8.8 2026-03-01 10:49:06.212317
8.8 2026-03-02 11:06:46.302617
12.0 2026-03-03 11:04:16.464504
12.0 2026-03-04 11:01:46.316051
8.0 2026-03-05 11:05:27.461485
9.0 2026-03-06 11:01:10.242664
9.6,2026-03-07 10:47:14
10.3,2026-03-08 10:49:19
12.0,2026-03-09 11:08:25
12.0,2026-03-10 11:06:00
6.5,2026-03-11 12:12:31
8.4,2026-03-12 11:05:00
10.2,2026-03-13 11:03:00
10.2,2026-03-14 10:53:04
10.6,2026-03-15 10:55:43
9.8,2026-03-16 11:25:39
12.0,2026-03-17 11:12:14
12.0,2026-03-18 11:13:41
11.1,2026-03-19 11:06:38
