pollen_concentration,timestamp
5.3 2026-03-01 10:49:09.964503
5.3 2026-03-02 11:06:50.229054
6.1 2026-03-03 11:04:21.198449
6.1 2026-03-04 11:01:50.557992
6.0 2026-03-05 11:05:32.194227
5.8 2026-03-06 11:01:13.971344
4.6,2026-03-07 10:47:18
4.1,2026-03-08 10:49:24
3.4,2026-03-09 11:08:29
6.2,2026-03-10 11:06:04
6.4,2026-03-11 12:12:36
6.4,2026-03-12 11:05:04
6.5,2026-03-13 11:03:04
6.3,2026-03-14 10:53:08
6.0,2026-03-15 10:55:46
6.3,2026-03-16 11:25:43
6.2,2026-03-17 11:12:18
3.7,2026-03-18 11:13:44
1.8,2026-03-19 11:06:42
2.2,2026-03-20 11:02:54
2.3,2026-03-21 10:51:34
2.1,2026-03-22 10:52:17
2.8,2026-03-23 11:13:06
