pollen_concentration,timestamp
1.3 2026-03-01 10:49:12.381522
1.3 2026-03-02 11:06:52.786364
2.3 2026-03-03 11:04:23.656025
2.3 2026-03-04 11:01:53.539903
2.3 2026-03-05 11:05:34.663448
6.2 2026-03-06 11:01:16.448054
6.0,2026-03-07 10:47:21
6.0,2026-03-08 10:49:27
6.0,2026-03-09 11:08:32
6.0,2026-03-10 11:06:07
3.8,2026-03-11 12:12:38
2.3,2026-03-12 11:05:06
2.4,2026-03-13 11:03:06
2.3,2026-03-14 10:53:11
2.4,2026-03-15 10:55:49
2.3,2026-03-16 11:25:45
0.5,2026-03-17 11:12:21
0.6,2026-03-18 11:13:47
2.3,2026-03-19 11:06:45
2.3,2026-03-20 11:02:56
2.3,2026-03-21 10:51:36
2.3,2026-03-22 10:52:20
2.3,2026-03-23 11:13:08
2.3,2026-03-24 11:13:14
2.3,2026-03-25 11:11:36
