pollen_concentration,timestamp
2.8 2026-03-03 11:04:23.654710
2.8 2026-03-04 11:01:53.538982
2.8 2026-03-05 11:05:34.662720
6.1 2026-03-06 11:01:16.448962
6.1,2026-03-07 10:47:21
6.2,2026-03-08 10:49:27
6.2,2026-03-09 11:08:32
2.8,2026-03-10 11:06:07
2.2,2026-03-11 12:12:38
2.4,2026-03-12 11:05:06
2.5,2026-03-13 11:03:06
2.4,2026-03-14 10:53:11
2.5,2026-03-15 10:55:49
2.1,2026-03-16 11:25:45
0.3,2026-03-17 11:12:21
0.5,2026-03-18 11:13:47
1.3,2026-03-19 11:06:45
1.3,2026-03-20 11:02:56
