pollen_concentration,timestamp
1.3 2026-03-01 10:49:13.308414
1.3 2026-03-02 11:06:53.778076
6.7 2026-03-03 11:04:25.161934
6.7 2026-03-04 11:01:55.039753
5.7 2026-03-05 11:05:35.661368
5.8 2026-03-06 11:01:17.441757
5.6,2026-03-07 10:47:22
5.5,2026-03-08 10:49:28
5.5,2026-03-09 11:08:33
6.5,2026-03-10 11:06:08
6.6,2026-03-11 12:12:40
6.6,2026-03-12 11:05:07
7.4,2026-03-13 11:03:07
7.3,2026-03-14 10:53:12
7.4,2026-03-15 10:55:51
7.4,2026-03-16 11:25:47
6.7,2026-03-17 11:12:22
6.6,2026-03-18 11:13:48
6.6,2026-03-19 11:06:46
5.2,2026-03-20 11:02:57
5.3,2026-03-21 10:51:37
5.2,2026-03-22 10:52:21
5.2,2026-03-23 11:13:09
3.2,2026-03-24 11:13:15
3.4,2026-03-25 11:11:37
3.9,2026-03-26 11:26:49
6.2,2026-03-27 11:11:23
6.1,2026-03-28 10:57:30
6.1,2026-03-29 10:59:27
5.4,2026-03-30 11:31:32
2.6,2026-03-31 11:25:30
