pollen_concentration,timestamp
10.2 2026-03-01 10:49:14.247325
10.2 2026-03-02 11:06:54.785247
9.0 2026-03-03 11:04:26.082261
9.8 2026-03-04 11:01:55.953454
9.0 2026-03-05 11:05:37.168087
8.6 2026-03-06 11:01:18.950020
7.7,2026-03-07 10:47:23
8.1,2026-03-08 10:49:29
7.7,2026-03-09 11:08:34
6.3,2026-03-10 11:06:09
6.5,2026-03-11 12:12:41
6.7,2026-03-12 11:05:08
8.1,2026-03-13 11:03:08
6.9,2026-03-14 10:53:12
7.1,2026-03-15 10:55:52
7.7,2026-03-16 11:25:48
2.8,2026-03-17 11:12:23
4.9,2026-03-18 11:13:49
6.1,2026-03-19 11:06:47
6.3,2026-03-20 11:02:59
6.5,2026-03-21 10:51:39
6.1,2026-03-22 10:52:22
6.5,2026-03-23 11:13:10
6.5,2026-03-24 11:13:16
6.3,2026-03-25 11:11:38
