pollen_concentration,timestamp
2.1 2026-03-01 10:49:14.250286
2.1 2026-03-02 11:06:54.788113
2.1 2026-03-03 11:04:26.087875
2.3 2026-03-04 11:01:55.957263
3.3 2026-03-05 11:05:37.171859
2.8 2026-03-06 11:01:18.954224
2.3,2026-03-07 10:47:23
2.3,2026-03-08 10:49:29
1.9,2026-03-09 11:08:34
1.3,2026-03-10 11:06:09
1.3,2026-03-11 12:12:41
2.3,2026-03-12 11:05:08
2.5,2026-03-13 11:03:08
2.8,2026-03-14 10:53:12
3.0,2026-03-15 10:55:52
3.0,2026-03-16 11:25:48
1.9,2026-03-17 11:12:23
2.3,2026-03-18 11:13:49
2.3,2026-03-19 11:06:47
2.1,2026-03-20 11:02:59
2.3,2026-03-21 10:51:39
2.4,2026-03-22 10:52:22
2.1,2026-03-23 11:13:10
2.1,2026-03-24 11:13:16
2.3,2026-03-25 11:11:38
0.4,2026-03-26 11:26:51
