pollen_concentration,timestamp
0.1,2026-04-01 11:28:33
0.1,2026-04-02 11:14:09
0.9,2026-04-03 11:08:25
1.1,2026-04-04 10:57:49
1.3,2026-04-05 11:00:29
1.4,2026-04-06 11:25:29
1.4,2026-04-07 11:28:08
1.4,2026-04-08 11:28:59
1.4,2026-04-09 11:30:23
4.3,2026-04-10 11:24:23
5.0,2026-04-11 11:01:12
5.6,2026-04-12 11:04:46
4.0,2026-04-13 11:48:48
2.3,2026-04-14 11:35:31
2.3,2026-04-15 11:32:55
2.2,2026-04-16 11:35:44
4.8,2026-04-17 11:28:20
4.0,2026-04-18 11:05:47
3.5,2026-04-19 11:05:26
2.3,2026-04-20 11:49:36
2.3,2026-04-21 11:37:06
3.6,2026-04-22 11:35:59
4.9,2026-04-23 11:37:41
4.0,2026-04-24 11:38:37
4.7,2026-04-25 11:10:09
4.9,2026-04-26 11:09:03
3.9,2026-04-27 12:06:01
4.9,2026-04-28 12:09:20
3.9,2026-04-29 11:57:45
