pollen_concentration,timestamp
2.9,2026-04-01 11:28:39
2.9,2026-04-02 11:14:14
6.5,2026-04-03 11:08:31
6.5,2026-04-04 10:57:55
6.6,2026-04-05 11:00:39
6.7,2026-04-06 11:25:35
6.6,2026-04-07 11:28:14
6.1,2026-04-08 11:29:04
3.8,2026-04-09 11:30:28
3.0,2026-04-10 11:24:28
2.5,2026-04-11 11:01:18
3.0,2026-04-12 11:04:52
6.5,2026-04-13 11:48:54
6.2,2026-04-14 11:35:38
6.1,2026-04-15 11:33:01
2.7,2026-04-16 11:35:50
3.5,2026-04-17 11:28:25
4.1,2026-04-18 11:05:53
4.1,2026-04-19 11:05:31
4.1,2026-04-21 11:37:12
2.5,2026-04-22 11:36:05
3.6,2026-04-24 11:38:43
3.3,2026-04-25 11:10:14
2.3,2026-04-26 11:09:09
