pollen_concentration,timestamp
6.2,2026-04-01 11:28:42
6.1,2026-04-02 11:14:17
6.1,2026-04-03 11:08:34
6.1,2026-04-04 10:57:59
6.1,2026-04-05 11:00:42
6.2,2026-04-06 11:25:38
7.1,2026-04-07 11:28:18
7.7,2026-04-08 11:29:07
9.4,2026-04-09 11:30:31
6.4,2026-04-10 11:24:32
6.4,2026-04-11 11:01:22
6.5,2026-04-12 11:04:55
6.3,2026-04-13 11:48:58
6.3,2026-04-14 11:35:41
4.9,2026-04-15 11:33:05
3.3,2026-04-16 11:35:53
2.8,2026-04-17 11:28:28
3.3,2026-04-18 11:05:56
3.8,2026-04-19 11:05:35
7.3,2026-04-20 11:49:45
5.9,2026-04-21 11:37:15
6.3,2026-04-22 11:36:08
2.3,2026-04-23 11:37:50
