pollen_concentration,timestamp
7.0,2026-04-01 11:28:46
6.4,2026-04-02 11:14:22
6.4,2026-04-03 11:08:38
6.5,2026-04-04 10:58:03
6.5,2026-04-05 11:00:46
6.5,2026-04-06 11:25:42
12.0,2026-04-07 11:28:21
12.0,2026-04-08 11:29:11
12.0,2026-04-09 11:30:35
12.0,2026-04-10 11:24:36
12.0,2026-04-11 11:01:26
12.0,2026-04-12 11:04:59
10.8,2026-04-13 11:49:01
8.0,2026-04-14 11:35:45
7.1,2026-04-15 11:33:09
6.6,2026-04-16 11:35:57
8.6,2026-04-17 11:28:32
7.4,2026-04-18 11:06:00
6.7,2026-04-19 11:05:39
7.1,2026-04-20 11:49:48
6.4,2026-04-21 11:37:19
6.0,2026-04-22 11:36:12
6.1,2026-04-23 11:37:54
6.1,2026-04-24 11:38:51
