pollen_concentration,timestamp
5.3,2026-04-01 11:28:46
4.9,2026-04-02 11:14:22
4.2,2026-04-03 11:08:38
4.3,2026-04-04 10:58:03
4.1,2026-04-05 11:00:46
4.1,2026-04-06 11:25:42
4.0,2026-04-07 11:28:21
4.2,2026-04-08 11:29:11
4.2,2026-04-09 11:30:35
4.0,2026-04-10 11:24:36
4.3,2026-04-11 11:01:26
4.1,2026-04-12 11:04:59
5.8,2026-04-13 11:49:01
6.1,2026-04-14 11:35:45
6.3,2026-04-15 11:33:09
6.1,2026-04-16 11:35:58
4.4,2026-04-17 11:28:32
4.1,2026-04-18 11:06:00
3.3,2026-04-19 11:05:39
