pollen_concentration,timestamp
0.8,2026-04-01 11:28:46
1.5,2026-04-02 11:14:22
0.8,2026-04-03 11:08:38
1.1,2026-04-04 10:58:03
1.5,2026-04-05 11:00:46
1.5,2026-04-06 11:25:42
1.5,2026-04-07 11:28:21
0.8,2026-04-08 11:29:11
0.8,2026-04-09 11:30:35
1.5,2026-04-10 11:24:36
1.5,2026-04-11 11:01:26
1.1,2026-04-12 11:04:59
0.8,2026-04-13 11:49:01
1.5,2026-04-14 11:35:45
2.3,2026-04-15 11:33:09
2.5,2026-04-16 11:35:58
2.3,2026-04-17 11:28:32
2.5,2026-04-18 11:06:00
2.3,2026-04-19 11:05:39
2.5,2026-04-20 11:49:48
2.3,2026-04-21 11:37:19
2.3,2026-04-22 11:36:12
2.5,2026-04-23 11:37:54
2.5,2026-04-24 11:38:51
2.3,2026-04-25 11:10:21
2.8,2026-04-26 11:09:16
3.3,2026-04-27 12:06:15
3.8,2026-04-28 12:09:32
4.1,2026-04-29 11:57:58
