pollen_concentration,timestamp
6.0,2026-04-01 11:28:48
6.5,2026-04-02 11:14:25
6.3,2026-04-03 11:08:41
6.4,2026-04-04 10:58:07
6.5,2026-04-05 11:00:49
6.7,2026-04-06 11:25:45
7.3,2026-04-07 11:28:24
7.3,2026-04-08 11:29:13
7.5,2026-04-09 11:30:38
7.1,2026-04-10 11:24:38
6.5,2026-04-11 11:01:29
7.7,2026-04-12 11:05:01
6.3,2026-04-13 11:49:04
6.3,2026-04-14 11:35:48
6.0,2026-04-15 11:33:11
2.3,2026-04-16 11:36:00
2.3,2026-04-17 11:28:34
2.1,2026-04-18 11:06:02
2.1,2026-04-19 11:05:41
2.1,2026-04-20 11:49:51
1.6,2026-04-21 11:37:22
1.6,2026-04-22 11:36:14
1.6,2026-04-23 11:37:56
1.6,2026-04-24 11:38:54
