pollen_concentration,timestamp
4.3,2026-04-01 11:28:48
2.8,2026-04-02 11:14:25
3.0,2026-04-03 11:08:41
3.6,2026-04-04 10:58:07
4.1,2026-04-05 11:00:49
4.3,2026-04-06 11:25:45
4.9,2026-04-07 11:28:24
4.9,2026-04-08 11:29:13
6.0,2026-04-09 11:30:38
6.0,2026-04-10 11:24:39
5.4,2026-04-11 11:01:29
6.0,2026-04-12 11:05:01
8.6,2026-04-13 11:49:04
4.9,2026-04-14 11:35:48
2.8,2026-04-15 11:33:11
3.3,2026-04-16 11:36:00
3.3,2026-04-17 11:28:34
2.8,2026-04-18 11:06:02
2.5,2026-04-19 11:05:41
2.5,2026-04-20 11:49:51
1.3,2026-04-21 11:37:22
1.3,2026-04-22 11:36:14
1.3,2026-04-23 11:37:56
1.3,2026-04-24 11:38:54
1.8,2026-04-25 11:10:23
