pollen_concentration,timestamp
1.0,2026-04-02 11:14:25
1.6,2026-04-03 11:08:41
1.9,2026-04-04 10:58:07
1.9,2026-04-05 11:00:49
1.6,2026-04-06 11:25:45
3.8,2026-04-07 11:28:24
3.8,2026-04-08 11:29:13
4.9,2026-04-09 11:30:38
4.9,2026-04-10 11:24:39
3.3,2026-04-11 11:01:29
4.9,2026-04-12 11:05:01
2.8,2026-04-13 11:49:04
2.8,2026-04-14 11:35:48
2.3,2026-04-15 11:33:11
5.4,2026-04-16 11:36:00
5.4,2026-04-17 11:28:34
3.3,2026-04-18 11:06:02
2.8,2026-04-19 11:05:41
2.8,2026-04-20 11:49:51
0.8,2026-04-21 11:37:22
