pollen_concentration,timestamp
3.0,2026-04-02 11:14:27
1.7,2026-04-03 11:08:42
2.2,2026-04-04 10:58:08
2.7,2026-04-05 11:00:50
2.9,2026-04-06 11:25:47
2.9,2026-04-07 11:28:25
7.2,2026-04-08 11:29:14
7.2,2026-04-09 11:30:38
4.0,2026-04-10 11:24:40
4.2,2026-04-11 11:01:30
5.0,2026-04-12 11:05:02
7.2,2026-04-13 11:49:05
6.9,2026-04-14 11:35:49
6.7,2026-04-15 11:33:13
6.7,2026-04-16 11:36:01
6.9,2026-04-17 11:28:35
7.0,2026-04-18 11:06:03
6.9,2026-04-19 11:05:42
5.7,2026-04-20 11:49:52
5.4,2026-04-21 11:37:23
4.3,2026-04-22 11:36:15
4.9,2026-04-23 11:37:57
1.7,2026-04-24 11:38:55
