pollen_concentration,timestamp
3.3,2026-04-01 11:28:50
4.3,2026-04-02 11:14:27
3.3,2026-04-03 11:08:42
4.1,2026-04-04 10:58:08
4.6,2026-04-05 11:00:50
5.1,2026-04-06 11:25:47
5.1,2026-04-07 11:28:25
5.6,2026-04-08 11:29:14
5.6,2026-04-09 11:30:38
3.0,2026-04-10 11:24:40
3.6,2026-04-11 11:01:30
4.6,2026-04-12 11:05:02
3.8,2026-04-13 11:49:05
3.3,2026-04-14 11:35:49
4.1,2026-04-15 11:33:13
4.6,2026-04-16 11:36:01
5.1,2026-04-17 11:28:35
5.6,2026-04-18 11:06:03
5.4,2026-04-19 11:05:42
2.8,2026-04-20 11:49:52
3.3,2026-04-21 11:37:23
6.3,2026-04-22 11:36:15
6.4,2026-04-23 11:37:57
4.6,2026-04-24 11:38:55
5.1,2026-04-25 11:10:24
5.6,2026-04-26 11:09:20
6.6,2026-04-27 12:06:18
6.6,2026-04-28 12:09:36
