pollen_concentration,timestamp
4.1,2026-04-01 11:28:50
4.9,2026-04-02 11:14:28
6.0,2026-04-03 11:08:43
6.1,2026-04-04 10:58:10
6.3,2026-04-05 11:00:51
6.5,2026-04-06 11:25:48
7.7,2026-04-07 11:28:26
7.9,2026-04-08 11:29:15
8.6,2026-04-09 11:30:40
7.3,2026-04-10 11:24:41
7.0,2026-04-11 11:01:31
7.3,2026-04-12 11:05:03
6.7,2026-04-13 11:49:06
6.1,2026-04-14 11:35:50
4.9,2026-04-15 11:33:14
6.1,2026-04-16 11:36:02
6.0,2026-04-17 11:28:36
6.5,2026-04-18 11:06:05
6.3,2026-04-19 11:05:43
1.8,2026-04-20 11:49:53
4.3,2026-04-21 11:37:24
6.5,2026-04-22 11:36:16
6.9,2026-04-23 11:37:58
