pollen_concentration,timestamp
2.2,2026-04-01 11:28:50
2.8,2026-04-02 11:14:28
2.5,2026-04-03 11:08:43
2.6,2026-04-04 10:58:10
2.8,2026-04-05 11:00:51
4.3,2026-04-06 11:25:48
6.0,2026-04-10 11:24:41
5.3,2026-04-11 11:01:31
4.3,2026-04-12 11:05:03
2.1,2026-04-13 11:49:06
2.3,2026-04-14 11:35:50
1.8,2026-04-15 11:33:14
2.5,2026-04-16 11:36:02
2.1,2026-04-17 11:28:36
2.3,2026-04-18 11:06:05
3.3,2026-04-19 11:05:43
0.5,2026-04-20 11:49:53
2.5,2026-04-21 11:37:24
3.3,2026-04-22 11:36:16
3.6,2026-04-23 11:37:58
5.4,2026-04-24 11:38:57
4.9,2026-04-25 11:10:25
5.6,2026-04-26 11:09:21
