pollen_concentration,timestamp
6.5,2026-04-07 11:28:26
6.9,2026-04-08 11:29:15
7.1,2026-04-09 11:30:40
6.5,2026-04-10 11:24:41
6.3,2026-04-11 11:01:31
6.0,2026-04-12 11:05:03
6.0,2026-04-13 11:49:06
6.0,2026-04-14 11:35:50
4.3,2026-04-15 11:33:14
6.0,2026-04-16 11:36:02
6.5,2026-04-17 11:28:36
6.9,2026-04-18 11:06:05
7.3,2026-04-19 11:05:43
1.1,2026-04-20 11:49:53
2.8,2026-04-21 11:37:24
6.0,2026-04-22 11:36:16
6.3,2026-04-23 11:37:58
6.0,2026-04-24 11:38:57
6.0,2026-04-25 11:10:25
5.9,2026-04-26 11:09:21
6.0,2026-04-27 12:06:19
6.0,2026-04-28 12:09:37
2.3,2026-04-29 11:58:02
