pollen_concentration,timestamp
0.8,2026-04-02 11:14:28
0.8,2026-04-03 11:08:43
0.8,2026-04-04 10:58:10
0.8,2026-04-05 11:00:51
0.8,2026-04-06 11:25:48
1.1,2026-04-07 11:28:26
2.5,2026-04-08 11:29:15
2.5,2026-04-09 11:30:40
2.5,2026-04-10 11:24:41
2.5,2026-04-11 11:01:31
2.5,2026-04-12 11:05:03
3.6,2026-04-13 11:49:06
2.3,2026-04-14 11:35:50
1.5,2026-04-15 11:33:14
2.3,2026-04-16 11:36:02
2.5,2026-04-17 11:28:36
2.8,2026-04-18 11:06:05
2.8,2026-04-19 11:05:43
0.8,2026-04-20 11:49:53
2.3,2026-04-21 11:37:24
2.3,2026-04-22 11:36:16
