pollen_concentration,timestamp
3.6,2026-05-01 11:37:11
6.0,2026-05-02 11:12:25
6.1,2026-05-03 11:10:58
2.7,2026-05-04 12:08:46
2.1,2026-05-05 11:45:58
2.5,2026-05-06 12:14:17
2.5,2026-05-07 12:15:37
0.1,2026-05-08 11:51:04
2.2,2026-05-09 11:24:57
2.3,2026-05-10 11:26:50
1.3,2026-05-11 13:22:19
1.3,2026-05-12 12:23:07
0.3,2026-05-13 12:26:52
0.1,2026-05-14 12:10:14
0.8,2026-05-15 12:15:57
1.3,2026-05-16 11:30:30
1.9,2026-05-17 11:37:30
0.6,2026-05-18 14:04:45
0.6,2026-05-19 13:38:57
