pollen_concentration,timestamp
6.1,2026-05-04 12:08:51
7.9,2026-05-05 11:46:01
7.3,2026-05-06 12:14:20
6.1,2026-05-07 12:15:41
7.7,2026-05-08 11:51:07
7.7,2026-05-09 11:25:01
7.7,2026-05-10 11:26:54
6.9,2026-05-11 13:22:23
9.2,2026-05-12 12:23:11
9.0,2026-05-13 12:26:55
6.8,2026-05-14 12:10:17
9.7,2026-05-15 12:16:01
7.3,2026-05-16 11:30:33
7.7,2026-05-17 11:37:34
6.1,2026-05-18 14:04:48
6.1,2026-05-19 13:39:00
7.8,2026-05-20 12:41:10
6.6,2026-05-21 13:42:18
7.9,2026-05-22 12:37:55
7.9,2026-05-23 11:40:39
7.9,2026-05-24 11:48:10
6.2,2026-05-25 13:45:00
6.1,2026-05-26 13:26:03
6.6,2026-05-27 13:56:38
6.3,2026-05-28 14:08:06
6.2,2026-05-29 13:40:59
6.2,2026-05-30 11:51:00
