pollen_concentration,timestamp
6.2,2026-05-04 12:08:55
6.1,2026-05-05 11:46:06
6.2,2026-05-06 12:14:24
6.4,2026-05-07 12:15:45
6.5,2026-05-08 11:51:11
6.5,2026-05-09 11:25:05
6.9,2026-05-10 11:26:59
7.0,2026-05-11 13:22:27
6.9,2026-05-12 12:23:14
6.9,2026-05-13 12:27:00
6.0,2026-05-14 12:10:21
6.0,2026-05-15 12:16:05
5.4,2026-05-16 11:30:37
5.8,2026-05-17 11:37:38
5.8,2026-05-18 14:04:53
6.0,2026-05-19 13:39:04
6.1,2026-05-20 12:41:14
6.0,2026-05-21 13:42:22
4.2,2026-05-22 12:37:59
4.3,2026-05-23 11:40:43
5.3,2026-05-24 11:48:14
4.4,2026-05-25 13:45:04
6.1,2026-05-26 13:26:07
6.0,2026-05-27 13:56:42
