pollen_concentration,timestamp
4.3,2026-05-01 11:37:21
6.1,2026-05-02 11:12:35
6.2,2026-05-03 11:11:08
6.1,2026-05-04 12:08:57
6.5,2026-05-05 11:46:09
6.5,2026-05-06 12:14:27
6.1,2026-05-07 12:15:47
6.2,2026-05-08 11:51:14
6.7,2026-05-09 11:25:08
6.8,2026-05-10 11:27:02
6.7,2026-05-11 13:22:30
6.2,2026-05-12 12:23:17
6.5,2026-05-13 12:27:02
6.7,2026-05-14 12:10:24
6.2,2026-05-15 12:16:07
1.9,2026-05-16 11:30:40
4.6,2026-05-17 11:37:40
6.1,2026-05-18 14:04:55
6.3,2026-05-19 13:39:06
6.3,2026-05-20 12:41:16
7.6,2026-05-21 13:42:24
