pollen_concentration,timestamp
0.4,2026-06-08 14:32:18
0.3,2026-06-09 13:22:03
0.5,2026-06-10 13:53:22
0.9,2026-06-11 14:13:35
0.4,2026-06-12 13:45:10
0.5,2026-06-13 12:07:37
0.6,2026-06-14 12:21:02
0.4,2026-06-15 16:06:30
0.4,2026-06-16 15:26:07
0.3,2026-06-17 14:06:17
0.3,2026-06-18 13:45:31
0.4,2026-06-19 13:53:18
0.3,2026-06-20 12:13:39
0.4,2026-06-21 12:23:55
0.3,2026-06-22 15:34:12
0.1,2026-06-23 13:19:57
0.1,2026-06-24 12:32:23
0.1,2026-06-25 12:36:38
0.1,2026-06-26 12:29:59
0.3,2026-06-27 11:51:09
0.1,2026-06-28 12:01:17
0.9,2026-06-29 14:32:40
1.4,2026-06-30 12:28:20
