pollen_concentration,timestamp
2.4,2026-06-01 16:20:21
1.3,2026-06-02 14:35:05
1.3,2026-06-03 15:12:34
2.3,2026-06-04 13:37:32
0.6,2026-06-05 13:30:44
2.3,2026-06-07 12:07:01
0.9,2026-06-08 14:32:28
2.1,2026-06-11 14:13:44
2.3,2026-06-12 13:45:21
2.2,2026-06-13 12:07:47
2.4,2026-06-14 12:21:11
2.1,2026-06-15 16:06:39
1.0,2026-06-16 15:26:15
1.3,2026-06-17 14:06:25
1.4,2026-06-18 13:45:40
1.0,2026-06-19 13:53:27
1.1,2026-06-20 12:13:48
0.9,2026-06-21 12:24:04
1.3,2026-06-22 15:34:21
0.4,2026-06-23 13:20:07
