pollen_concentration,timestamp
5.9,2026-06-01 16:20:21
6.1,2026-06-02 14:35:05
3.3,2026-06-03 15:12:34
4.6,2026-06-04 13:37:32
4.1,2026-06-05 13:30:44
4.6,2026-06-06 11:51:37
5.9,2026-06-07 12:07:01
5.4,2026-06-08 14:32:28
1.9,2026-06-09 13:22:12
6.2,2026-06-10 13:53:31
4.9,2026-06-11 14:13:44
4.6,2026-06-12 13:45:21
4.6,2026-06-13 12:07:47
4.3,2026-06-14 12:21:11
4.9,2026-06-15 16:06:39
6.1,2026-06-16 15:26:15
6.2,2026-06-17 14:06:25
5.4,2026-06-18 13:45:40
5.9,2026-06-19 13:53:27
5.4,2026-06-20 12:13:48
5.1,2026-06-21 12:24:04
4.9,2026-06-22 15:34:21
6.2,2026-06-23 13:20:07
6.3,2026-06-24 12:32:32
