pollen_concentration,timestamp
2.2,2026-06-01 16:20:21
0.6,2026-06-05 13:30:44
1.0,2026-06-06 11:51:37
1.9,2026-06-07 12:07:01
0.6,2026-06-09 13:22:12
3.2,2026-06-10 13:53:31
1.5,2026-06-12 13:45:21
1.3,2026-06-13 12:07:47
1.0,2026-06-14 12:21:11
1.5,2026-06-15 16:06:39
2.2,2026-06-16 15:26:15
2.5,2026-06-17 14:06:25
2.1,2026-06-18 13:45:40
2.2,2026-06-19 13:53:27
1.9,2026-06-20 12:13:48
2.3,2026-06-21 12:24:04
1.9,2026-06-22 15:34:21
5.6,2026-06-23 13:20:07
5.1,2026-06-24 12:32:32
4.3,2026-06-25 12:36:47
3.8,2026-06-26 12:30:08
4.0,2026-06-27 11:51:19
3.6,2026-06-28 12:01:28
1.1,2026-06-29 14:32:49
