pollen_concentration,timestamp
1.0,2026-06-05 13:30:48
0.8,2026-06-06 11:51:41
1.1,2026-06-07 12:07:05
1.1,2026-06-08 14:32:31
1.1,2026-06-09 13:22:16
1.5,2026-06-10 13:53:34
1.5,2026-06-11 14:13:47
1.3,2026-06-12 13:45:25
1.3,2026-06-13 12:07:51
1.1,2026-06-14 12:21:15
0.4,2026-06-15 16:06:42
0.4,2026-06-16 15:26:19
0.8,2026-06-17 14:06:29
1.1,2026-06-18 13:45:44
1.3,2026-06-19 13:53:31
1.0,2026-06-20 12:13:51
1.0,2026-06-21 12:24:08
1.0,2026-06-22 15:34:25
2.2,2026-06-23 13:20:11
2.2,2026-06-24 12:32:35
2.1,2026-06-25 12:36:51
2.1,2026-06-26 12:30:12
2.1,2026-06-27 11:51:23
2.1,2026-06-28 12:01:31
2.4,2026-06-29 14:32:53
