pollen_concentration,timestamp
0.6,2026-06-09 13:22:19
0.6,2026-06-10 13:53:37
0.6,2026-06-11 14:13:50
0.9,2026-06-12 13:45:28
1.3,2026-06-13 12:07:54
1.3,2026-06-14 12:21:17
0.5,2026-06-15 16:06:44
0.8,2026-06-16 15:26:21
2.1,2026-06-17 14:06:31
2.8,2026-06-18 13:45:46
2.8,2026-06-19 13:53:33
3.3,2026-06-20 12:13:54
3.3,2026-06-21 12:24:10
3.3,2026-06-22 15:34:27
2.5,2026-06-23 13:20:14
2.5,2026-06-24 12:32:38
2.8,2026-06-25 12:36:53
2.8,2026-06-26 12:30:14
2.3,2026-06-27 11:51:25
2.3,2026-06-28 12:01:35
