pollen_concentration,timestamp
0.9,2026-06-06 11:51:43
0.5,2026-06-07 12:07:08
0.5,2026-06-08 14:32:34
1.9,2026-06-09 13:22:19
2.2,2026-06-10 13:53:37
1.1,2026-06-11 14:13:50
1.3,2026-06-12 13:45:28
2.2,2026-06-13 12:07:54
2.2,2026-06-14 12:21:17
0.6,2026-06-15 16:06:44
1.0,2026-06-16 15:26:21
2.3,2026-06-17 14:06:31
3.3,2026-06-18 13:45:46
3.3,2026-06-19 13:53:33
3.8,2026-06-20 12:13:54
3.8,2026-06-21 12:24:10
3.8,2026-06-22 15:34:27
2.8,2026-06-23 13:20:14
2.8,2026-06-24 12:32:38
1.6,2026-06-25 12:36:53
