pollen_concentration,timestamp
1.0,2026-06-01 16:20:27
1.0,2026-06-02 14:35:11
1.0,2026-06-03 15:12:41
1.0,2026-06-04 13:37:38
1.0,2026-06-05 13:30:50
1.1,2026-06-06 11:51:43
1.3,2026-06-07 12:07:08
0.8,2026-06-08 14:32:34
1.5,2026-06-09 13:22:19
1.1,2026-06-10 13:53:37
1.1,2026-06-11 14:13:50
1.0,2026-06-12 13:45:28
1.5,2026-06-13 12:07:54
1.5,2026-06-14 12:21:17
0.4,2026-06-15 16:06:44
0.8,2026-06-16 15:26:21
0.8,2026-06-17 14:06:31
2.2,2026-06-18 13:45:46
2.2,2026-06-19 13:53:33
2.2,2026-06-20 12:13:54
2.2,2026-06-21 12:24:10
2.2,2026-06-22 15:34:27
2.2,2026-06-23 13:20:14
2.2,2026-06-24 12:32:38
2.8,2026-06-25 12:36:53
