pollen_concentration,timestamp
5.6,2026-06-01 16:20:28
5.4,2026-06-02 14:35:12
1.3,2026-06-03 15:12:42
1.9,2026-06-04 13:37:39
2.3,2026-06-05 13:30:51
2.1,2026-06-06 11:51:44
2.5,2026-06-07 12:07:09
1.3,2026-06-08 14:32:34
1.7,2026-06-09 13:22:20
1.7,2026-06-10 13:53:38
2.1,2026-06-11 14:13:51
2.8,2026-06-12 13:45:29
3.0,2026-06-13 12:07:55
3.5,2026-06-14 12:21:18
3.9,2026-06-15 16:06:46
4.4,2026-06-16 15:26:22
5.0,2026-06-17 14:06:32
4.7,2026-06-18 13:45:48
4.0,2026-06-19 13:53:34
4.2,2026-06-20 12:13:55
