pollen_concentration,timestamp
0.3,2026-06-08 14:32:34
0.4,2026-06-09 13:22:20
0.5,2026-06-10 13:53:38
0.6,2026-06-11 14:13:51
0.9,2026-06-12 13:45:29
1.1,2026-06-13 12:07:55
1.4,2026-06-14 12:21:18
1.6,2026-06-15 16:06:46
1.8,2026-06-16 15:26:22
2.1,2026-06-17 14:06:32
2.2,2026-06-18 13:45:48
2.1,2026-06-19 13:53:34
2.2,2026-06-20 12:13:55
2.3,2026-06-21 12:24:12
2.3,2026-06-22 15:34:28
2.3,2026-06-23 13:20:15
5.7,2026-06-24 12:32:39
2.7,2026-06-25 12:36:54
2.7,2026-06-26 12:30:16
2.8,2026-06-27 11:51:26
2.7,2026-06-28 12:01:35
3.0,2026-06-29 14:32:58
