pollen_concentration,timestamp
0.6,2026-06-11 14:13:52
0.5,2026-06-12 13:45:30
0.9,2026-06-13 12:07:56
1.3,2026-06-14 12:21:19
0.1,2026-06-15 16:06:47
1.5,2026-06-16 15:26:23
1.6,2026-06-17 14:06:33
1.9,2026-06-18 13:45:49
1.6,2026-06-19 13:53:35
1.5,2026-06-20 12:13:56
1.0,2026-06-21 12:24:13
1.5,2026-06-22 15:34:29
1.1,2026-06-23 13:20:16
1.4,2026-06-24 12:32:39
1.4,2026-06-25 12:36:55
1.0,2026-06-26 12:30:17
0.6,2026-06-27 11:51:27
0.9,2026-06-28 12:01:36
0.6,2026-06-29 14:32:59
