pollen_concentration,timestamp
2.5,2026-07-01 13:15:41
3.0,2026-07-02 12:26:12
2.3,2026-07-03 12:23:58
2.5,2026-07-04 11:50:06
2.8,2026-07-05 11:52:39
2.3,2026-07-06 14:04:20
3.0,2026-07-07 12:41:24
1.1,2026-07-08 12:01:51
1.1,2026-07-09 13:26:42
1.5,2026-07-10 12:39:22
1.9,2026-07-11 11:28:40
1.9,2026-07-12 11:35:46
1.5,2026-07-13 12:43:48
1.1,2026-07-14 11:51:57
1.1,2026-07-15 11:56:15
1.1,2026-07-16 11:58:11
1.5,2026-07-17 11:49:57
1.9,2026-07-18 11:28:37
0.8,2026-07-19 11:34:59
