pollen_concentration,timestamp
0.4,2026-07-01 13:15:47
0.4,2026-07-02 12:26:18
0.4,2026-07-03 12:24:04
1.0,2026-07-04 11:50:11
1.1,2026-07-05 11:52:46
0.4,2026-07-06 14:04:26
0.2,2026-07-07 12:41:30
0.4,2026-07-08 12:01:56
0.2,2026-07-09 13:26:48
0.2,2026-07-10 12:39:27
0.4,2026-07-11 11:28:46
0.8,2026-07-12 11:35:52
0.4,2026-07-13 12:43:53
0.4,2026-07-14 11:52:03
0.4,2026-07-15 11:56:21
0.4,2026-07-16 11:58:17
0.2,2026-07-17 11:50:02
0.4,2026-07-18 11:28:43
1.1,2026-07-19 11:35:04
0.6,2026-07-21 12:07:26
0.4,2026-07-22 12:10:54
0.4,2026-07-23 12:08:51
