pollen_concentration,timestamp
2.2,2026-07-01 13:15:58
2.7,2026-07-02 12:26:30
3.2,2026-07-03 12:24:16
3.7,2026-07-04 11:50:23
3.0,2026-07-05 11:53:00
2.2,2026-07-06 14:04:38
2.4,2026-07-07 12:41:42
2.2,2026-07-08 12:02:08
2.2,2026-07-09 13:26:59
2.3,2026-07-10 12:39:39
2.1,2026-07-11 11:28:57
2.4,2026-07-12 11:36:04
1.1,2026-07-13 12:44:05
1.5,2026-07-14 11:52:15
1.3,2026-07-15 11:56:32
1.0,2026-07-16 11:58:30
1.3,2026-07-17 11:50:13
0.8,2026-07-18 11:28:54
0.8,2026-07-19 11:35:16
0.6,2026-07-20 12:30:26
0.8,2026-07-21 12:07:37
0.2,2026-07-22 12:11:05
0.4,2026-07-23 12:09:03
