pollen_concentration,timestamp
0.2,2026-08-01 11:40:15
0.4,2026-08-02 11:40:10
2.3,2026-08-03 13:23:04
1.7,2026-08-04 12:24:22
1.7,2026-08-05 12:22:19
1.3,2026-08-06 12:24:18
1.7,2026-08-07 11:14:13
2.1,2026-08-08 10:59:21
2.5,2026-08-09 11:00:50
2.2,2026-08-10 11:29:21
2.3,2026-08-11 11:12:28
1.0,2026-08-12 11:15:22
2.2,2026-08-13 11:18:28
3.8,2026-08-14 11:12:46
4.0,2026-08-15 10:46:12
4.2,2026-08-16 10:46:52
5.4,2026-08-17 10:55:33
6.6,2026-08-18 10:54:28
6.0,2026-08-19 10:53:30
5.2,2026-08-20 10:55:41
6.6,2026-08-21 10:55:50
6.4,2026-08-22 10:47:25
6.7,2026-08-23 10:48:11
6.6,2026-08-24 11:01:10
6.0,2026-08-25 10:58:07
7.8,2026-08-26 10:59:19
8.4,2026-08-27 20:38:36
8.9,2026-08-28 21:12:40
8.4,2026-08-29 15:09:45
9.0,2026-08-30 14:55:07
