pollen_concentration,timestamp
0.4,2026-08-01 11:40:15
0.4,2026-08-02 11:40:10
0.4,2026-08-03 13:23:04
0.4,2026-08-04 12:24:22
0.4,2026-08-05 12:22:19
0.4,2026-08-06 12:24:18
0.8,2026-08-07 11:14:13
0.8,2026-08-08 10:59:21
0.8,2026-08-09 11:00:50
1.1,2026-08-10 11:29:21
0.6,2026-08-11 11:12:28
0.2,2026-08-12 11:15:22
0.4,2026-08-13 11:18:28
0.8,2026-08-14 11:12:46
0.8,2026-08-15 10:46:12
0.8,2026-08-16 10:46:52
0.4,2026-08-17 10:55:33
0.4,2026-08-18 10:54:28
0.2,2026-08-19 10:53:30
0.2,2026-08-20 10:55:41
0.2,2026-08-21 10:55:50
0.2,2026-08-22 10:47:25
0.4,2026-08-23 10:48:11
0.2,2026-08-24 11:01:10
0.2,2026-08-25 10:58:07
0.2,2026-08-26 10:59:19
