pollen_concentration,timestamp
1.1,2026-08-01 11:40:15
1.5,2026-08-02 11:40:10
0.8,2026-08-03 13:23:04
0.8,2026-08-04 12:24:22
1.1,2026-08-05 12:22:19
1.1,2026-08-06 12:24:18
1.5,2026-08-07 11:14:13
1.9,2026-08-08 10:59:21
1.9,2026-08-09 11:00:50
0.8,2026-08-10 11:29:21
1.1,2026-08-11 11:12:28
0.4,2026-08-12 11:15:22
0.4,2026-08-13 11:18:28
0.8,2026-08-15 10:46:12
0.8,2026-08-16 10:46:52
0.4,2026-08-17 10:55:33
0.4,2026-08-18 10:54:28
0.4,2026-08-25 10:58:07
0.4,2026-08-26 10:59:19
0.8,2026-08-27 20:38:36
