pollen_concentration,timestamp
6.1,2026-08-01 11:40:18
6.1,2026-08-02 11:40:14
6.9,2026-08-03 13:23:07
5.7,2026-08-04 12:24:25
4.9,2026-08-05 12:22:23
3.0,2026-08-06 12:24:22
2.6,2026-08-07 11:14:16
2.5,2026-08-08 10:59:25
3.0,2026-08-09 11:00:53
5.9,2026-08-10 11:29:24
2.5,2026-08-11 11:12:31
4.6,2026-08-12 11:15:25
4.9,2026-08-13 11:18:31
6.5,2026-08-14 11:12:50
6.6,2026-08-15 10:46:15
6.4,2026-08-16 10:46:55
4.0,2026-08-17 10:55:36
1.7,2026-08-18 10:54:31
1.0,2026-08-19 10:53:33
1.0,2026-08-20 10:55:44
1.0,2026-08-21 10:55:53
0.6,2026-08-22 10:47:28
1.3,2026-08-23 10:48:14
2.7,2026-08-24 11:01:14
3.5,2026-08-25 10:58:10
1.0,2026-08-26 10:59:21
1.0,2026-08-27 20:38:38
0.4,2026-08-28 21:12:43
0.6,2026-08-29 15:09:49
1.0,2026-08-30 14:55:10
