pollen_concentration,timestamp
0.2,2026-08-01 11:40:24
0.2,2026-08-02 11:40:20
0.4,2026-08-03 13:23:13
0.4,2026-08-04 12:24:31
0.4,2026-08-05 12:22:29
0.6,2026-08-06 12:24:28
0.6,2026-08-07 11:14:22
0.6,2026-08-08 10:59:31
0.6,2026-08-09 11:01:00
0.6,2026-08-10 11:29:32
1.1,2026-08-11 11:12:37
1.1,2026-08-12 11:15:32
1.1,2026-08-13 11:18:38
1.1,2026-08-14 11:12:56
1.5,2026-08-15 10:46:20
1.5,2026-08-16 10:47:01
2.3,2026-08-17 10:55:42
0.6,2026-08-18 10:54:37
0.6,2026-08-19 10:53:39
2.3,2026-08-20 10:55:50
2.1,2026-08-21 10:55:59
2.1,2026-08-22 10:47:34
2.1,2026-08-23 10:48:20
1.5,2026-08-24 11:01:19
