pollen_concentration,timestamp
0.2,2026-08-03 13:23:13
0.2,2026-08-04 12:24:31
0.2,2026-08-05 12:22:29
1.3,2026-08-06 12:24:28
1.3,2026-08-07 11:14:22
1.3,2026-08-08 10:59:31
1.3,2026-08-09 11:01:00
1.3,2026-08-10 11:29:32
2.2,2026-08-11 11:12:37
2.2,2026-08-12 11:15:32
2.2,2026-08-13 11:18:38
2.2,2026-08-14 11:12:56
2.2,2026-08-15 10:46:20
2.2,2026-08-16 10:47:01
1.5,2026-08-17 10:55:42
1.5,2026-08-18 10:54:37
1.5,2026-08-19 10:53:39
1.5,2026-08-20 10:55:50
1.5,2026-08-21 10:55:59
1.5,2026-08-22 10:47:34
1.5,2026-08-23 10:48:20
0.8,2026-08-24 11:01:19
0.8,2026-08-25 10:58:16
0.8,2026-08-26 10:59:27
