pollen_concentration,timestamp
0.2,2026-08-07 11:14:23
0.2,2026-08-08 10:59:32
0.2,2026-08-09 11:01:01
1.0,2026-08-10 11:29:32
1.1,2026-08-11 11:12:38
1.3,2026-08-12 11:15:33
3.9,2026-08-13 11:18:39
4.0,2026-08-14 11:12:57
3.8,2026-08-15 10:46:21
4.0,2026-08-16 10:47:02
1.9,2026-08-17 10:55:43
1.5,2026-08-18 10:54:38
1.3,2026-08-19 10:53:40
0.2,2026-08-20 10:55:50
0.2,2026-08-21 10:56:00
0.6,2026-08-22 10:47:35
1.0,2026-08-23 10:48:21
6.1,2026-08-24 11:01:20
6.0,2026-08-25 10:58:17
6.0,2026-08-26 10:59:28
1.5,2026-08-27 20:38:45
