pollen_concentration,timestamp
1.3,2026-09-01 15:01:08
1.5,2026-09-02 14:36:16
1.5,2026-09-03 14:40:25
6.0,2026-09-04 14:27:21
6.3,2026-09-05 13:29:59
6.0,2026-09-06 13:44:34
2.5,2026-09-07 15:57:18
2.5,2026-09-08 14:41:04
3.1,2026-09-09 14:42:49
2.1,2026-09-10 14:33:01
1.5,2026-09-11 14:31:58
1.1,2026-09-12 13:40:32
1.1,2026-09-13 14:31:19
1.1,2026-09-14 16:25:38
1.5,2026-09-15 15:08:38
1.5,2026-09-16 15:06:39
2.4,2026-09-17 15:08:52
3.1,2026-09-18 11:30:14
2.6,2026-09-19 09:24:35
2.2,2026-09-20 09:43:55
1.1,2026-09-21 10:37:21
