pollen_concentration,timestamp
12.0,2026-09-01 15:01:11
12.0,2026-09-02 14:36:19
12.0,2026-09-03 14:40:27
11.6,2026-09-04 14:27:24
11.6,2026-09-05 13:30:01
10.9,2026-09-06 13:44:37
9.9,2026-09-07 15:57:21
9.3,2026-09-08 14:41:06
9.3,2026-09-09 14:42:51
6.7,2026-09-10 14:33:03
4.9,2026-09-11 14:32:01
6.7,2026-09-12 13:40:35
6.5,2026-09-13 14:31:21
6.7,2026-09-14 16:25:40
7.0,2026-09-15 15:08:40
7.0,2026-09-16 15:06:42
6.5,2026-09-17 15:08:54
4.0,2026-09-18 11:30:16
6.1,2026-09-19 09:24:38
