pollen_concentration,timestamp
6.4,2026-09-01 15:01:11
6.1,2026-09-02 14:36:19
6.1,2026-09-03 14:40:27
5.7,2026-09-04 14:27:24
5.7,2026-09-05 13:30:01
4.9,2026-09-06 13:44:37
4.0,2026-09-07 15:57:21
4.0,2026-09-08 14:41:06
4.0,2026-09-09 14:42:51
2.5,2026-09-10 14:33:03
1.7,2026-09-11 14:32:01
2.5,2026-09-12 13:40:35
2.4,2026-09-13 14:31:21
2.1,2026-09-14 16:25:41
2.2,2026-09-15 15:08:40
2.2,2026-09-16 15:06:42
2.2,2026-09-17 15:08:54
1.0,2026-09-18 11:30:16
1.3,2026-09-19 09:24:38
1.3,2026-09-20 09:43:57
1.3,2026-09-21 10:37:23
1.0,2026-09-22 09:51:44
1.0,2026-09-23 09:53:17
