pollen_concentration,timestamp
7.3,2026-09-01 15:01:13
7.2,2026-09-02 14:36:21
7.7,2026-09-03 14:40:28
8.0,2026-09-04 14:27:25
7.6,2026-09-05 13:30:03
8.0,2026-09-06 13:44:38
9.3,2026-09-07 15:57:22
9.7,2026-09-08 14:41:08
9.3,2026-09-09 14:42:53
1.7,2026-09-10 14:33:04
0.8,2026-09-11 14:32:02
4.9,2026-09-12 13:40:36
5.3,2026-09-13 14:31:22
5.4,2026-09-14 16:25:43
6.1,2026-09-15 15:08:41
6.1,2026-09-16 15:06:43
3.0,2026-09-17 15:08:55
2.5,2026-09-18 11:30:17
3.0,2026-09-19 09:24:39
3.5,2026-09-20 09:43:58
3.6,2026-09-21 10:37:25
3.0,2026-09-22 09:51:46
3.5,2026-09-23 09:53:18
2.7,2026-09-24 09:54:09
